type,id,category,annotated_by,x,y,height,width,visibility
box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,human,418,397,147,50,visible
box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,human,628,447,99,74,visible
box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,human,784,380,176,95,visible
box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,human,992,355,195,107,visible
box,44565af1-1551-472a-93b5-df92082be817,Smoke,human,928,387,158,32,visible
box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,human,1136,380,170,29,visible
box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,human,1193,429,116,145,visible
box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,human,1741,460,97,151,visible
box,a694c92e-9b77-4d7c-9f03-1fe9a1d5cf80,Smoke,human,1582,422,197,65,visible
box,be0526ea-a121-4cc0-9033-ae66e610b586,Smoke,human,1670,578,48,57,visible
box,9dab8db2-f7fe-49b2-b859-8f44cbb40b38,Smoke,human,1403,433,116,34,visible
box,32dd1415-b966-4bdd-b8e2-e23f8a6175ad,Smoke,human,1733,309,92,76,visible
box,4d212cf3-0a9b-4421-967a-30960923745c,Smoke,machine,559,483,34,48,hidden
box,0c932ce3-f8bf-485a-a92f-16033a35c7e2,Smoke,machine,1214,464,113,23,hidden
box,2cbf8d43-35b0-41d4-b520-e9a05019debb,Smoke,machine,1773,313,57,57,hidden
box,2bf4e928-6714-43ab-8e4e-3c802e21e4ea,Smoke,machine,418,397,147,50,visible
box,3ef01461-10f4-44fa-a2b7-9fa31a6dac3a,Smoke,machine,628,447,99,74,visible
box,36ad3edb-34aa-4232-8702-86b7466b70e7,Smoke,machine,784,380,176,95,visible
box,743464c4-e5fa-4cb4-a11d-b3790a902743,Smoke,machine,992,355,195,107,visible
box,44565af1-1551-472a-93b5-df92082be817,Smoke,machine,928,387,158,32,visible
box,72731786-10e2-44f9-819a-fca9e5f40ebd,Smoke,machine,1136,380,170,29,visible
box,e7d12a24-9a86-458d-98c8-fb5da8177c7c,Smoke,machine,1193,429,116,145,visible
box,1483bbbc-cf4e-4a65-acb7-9bc9801cd63a,Smoke,machine,1741,460,97,151,visible
