filename,width,height,class,x_min,y_min,x_max,y_max
0001.png,50,147,Smoke,418,397,468,544
0001.png,74,99,Smoke,628,447,702,546
0001.png,95,176,Smoke,784,380,879,556
0001.png,107,195,Smoke,992,355,1099,550
0001.png,32,158,Smoke,928,387,960,545
0001.png,29,170,Smoke,1136,380,1165,550
0001.png,145,116,Smoke,1193,429,1338,545
0001.png,151,97,Smoke,1741,460,1892,557
0001.png,65,197,Smoke,1582,422,1647,619
0001.png,57,48,Smoke,1670,578,1727,626
0001.png,34,116,Smoke,1403,433,1437,549
0001.png,76,92,Smoke,1733,309,1809,401
0001.png,48,34,Smoke,559,483,607,517
0001.png,23,113,Smoke,1214,464,1237,577
0001.png,57,57,Smoke,1773,313,1830,370
0002.png,50,147,Smoke,418,397,468,544
0002.png,74,99,Smoke,628,447,702,546
0002.png,95,176,Smoke,784,380,879,556
0002.png,107,195,Smoke,992,355,1099,550
0002.png,32,158,Smoke,928,387,960,545
0002.png,29,170,Smoke,1136,380,1165,550
0002.png,145,116,Smoke,1193,429,1338,545
0002.png,151,97,Smoke,1741,460,1892,557
0002.png,65,197,Smoke,1582,421,1647,618
0002.png,57,48,Smoke,1670,578,1727,626
0002.png,34,116,Smoke,1403,433,1437,549
0002.png,76,92,Smoke,1733,309,1809,401
0002.png,48,34,Smoke,559,483,607,517
0002.png,23,113,Smoke,1214,464,1237,577
0002.png,57,57,Smoke,1773,313,1830,370
0003.png,50,147,Smoke,418,397,468,544
0003.png,74,99,Smoke,628,447,702,546
0003.png,95,176,Smoke,784,380,879,556
0003.png,107,195,Smoke,992,355,1099,550
0003.png,32,158,Smoke,929,387,961,545
0003.png,29,170,Smoke,1136,380,1165,550
0003.png,145,116,Smoke,1193,429,1338,545
0003.png,151,97,Smoke,1741,460,1892,557
0003.png,65,197,Smoke,1582,422,1647,619
0003.png,57,48,Smoke,1670,579,1727,627
0003.png,34,116,Smoke,1403,433,1437,549
0003.png,76,92,Smoke,1733,309,1809,401
0003.png,48,34,Smoke,559,483,607,517
0003.png,23,113,Smoke,1214,464,1237,577
0003.png,57,57,Smoke,1773,313,1830,370
0004.png,50,147,Smoke,418,397,468,544
0004.png,74,99,Smoke,628,447,702,546
0004.png,95,176,Smoke,784,380,879,556
0004.png,107,195,Smoke,992,355,1099,550
0004.png,32,158,Smoke,928,387,960,545
0004.png,29,170,Smoke,1136,380,1165,550
