filename,width,height,class,xmin,ymin,xmax,ymax
0604.png,111,221,Smoke,1019,320,1130,541
0375.png,76,95,Smoke,666,434,742,529
0463.png,50,116,Smoke,1431,428,1481,544
1024.png,124,174,Smoke,1253,377,1377,551
0309.png,146,113,Smoke,1774,445,1920,558
0597.png,57,57,Smoke,1773,313,1830,370
0311.png,23,113,Smoke,1214,464,1237,577
0565.png,50,128,Smoke,1435,422,1485,550
0393.png,76,92,Smoke,1768,310,1844,402
0512.png,97,120,Smoke,647,423,744,543
1293.png,101,107,Smoke,635,446,736,553
0256.png,55,84,Smoke,450,460,505,544
1585.png,23,151,Smoke,1211,423,1234,574
0827.png,124,174,Smoke,1251,379,1375,553
1179.png,80,48,Smoke,414,514,494,562
0593.png,99,59,Smoke,1692,576,1791,635
1196.png,23,113,Smoke,1213,469,1236,582
1354.png,179,109,Smoke,1741,459,1920,568
0070.png,34,116,Smoke,1433,432,1467,548
0933.png,101,160,Smoke,813,383,914,543
0810.png,124,174,Smoke,1251,379,1375,553
0600.png,50,128,Smoke,1434,423,1484,551
1697.png,141,67,Smoke,1761,372,1902,439
0683.png,124,174,Smoke,1251,378,1375,552
1221.png,179,109,Smoke,1741,458,1920,567
0319.png,55,84,Smoke,449,460,504,544
1402.png,32,170,Smoke,962,375,994,545
0851.png,23,113,Smoke,1214,470,1237,583
0006.png,151,97,Smoke,1740,460,1891,557
1284.png,80,48,Smoke,414,514,494,562
0152.png,145,116,Smoke,1226,427,1371,543
0997.png,57,57,Smoke,1773,313,1830,370
0427.png,107,221,Smoke,1021,318,1128,539
0160.png,55,143,Smoke,445,385,500,528
0252.png,65,197,Smoke,1617,423,1682,620
0010.png,76,92,Smoke,1734,309,1810,401
0369.png,76,95,Smoke,666,430,742,525
0868.png,76,118,Smoke,1770,317,1846,435
1145.png,55,80,Smoke,546,424,601,504
0161.png,50,116,Smoke,1433,430,1483,546
1131.png,179,109,Smoke,1741,457,1920,566
0533.png,65,218,Smoke,1618,399,1683,617
0343.png,23,113,Smoke,1214,464,1237,577
0381.png,55,80,Smoke,546,422,601,502
0409.png,55,80,Smoke,546,421,601,501
0559.png,76,118,Smoke,1770,307,1846,425
1404.png,23,151,Smoke,1212,424,1235,575
1311.png,50,128,Smoke,1431,419,1481,547
1413.png,141,67,Smoke,1759,374,1900,441
1393.png,181,109,Smoke,1739,457,1920,566
0023.png,48,34,Smoke,559,483,607,517
1566.png,113,57,Smoke,625,497,738,554
0467.png,50,116,Smoke,1431,428,1481,544
0894.png,124,174,Smoke,1252,379,1376,553
0920.png,57,57,Smoke,1773,313,1830,370
1265.png,80,48,Smoke,414,514,494,562
1104.png,101,107,Smoke,635,446,736,553
1118.png,101,107,Smoke,635,446,736,553
1097.png,55,80,Smoke,546,424,601,504
1393.png,101,107,Smoke,635,446,736,553
1628.png,80,48,Smoke,414,514,494,562
1192.png,179,109,Smoke,1741,459,1920,568
0294.png,107,221,Smoke,1021,323,1128,544
0387.png,95,139,Smoke,821,409,916,548
0729.png,29,218,Smoke,1163,357,1192,575
1069.png,99,59,Smoke,1687,575,1786,634
1212.png,50,128,Smoke,1431,421,1481,549
0478.png,29,218,Smoke,1163,356,1192,574
1398.png,80,48,Smoke,414,514,494,562
0389.png,143,113,Smoke,1777,442,1920,555
1374.png,124,174,Smoke,1256,377,1380,551
0838.png,55,80,Smoke,546,424,601,504
1373.png,92,57,Smoke,1754,305,1846,362
0345.png,55,84,Smoke,450,460,505,544
0344.png,32,158,Smoke,962,387,994,545
0896.png,32,158,Smoke,963,382,995,540
0113.png,29,218,Smoke,1164,352,1193,570
1357.png,23,151,Smoke,1212,423,1235,574
1600.png,80,48,Smoke,414,514,494,562
1301.png,50,128,Smoke,1431,418,1481,546
1613.png,132,155,Smoke,1246,396,1378,551
0860.png,174,109,Smoke,1746,452,1920,561
0560.png,65,218,Smoke,1618,397,1683,615
1420.png,23,151,Smoke,1212,422,1235,573
0113.png,32,158,Smoke,962,387,994,545
0756.png,76,250,Smoke,1610,392,1686,642
1664.png,141,67,Smoke,1760,373,1901,440
1755.png,141,67,Smoke,1760,371,1901,438
1615.png,155,48,Smoke,1722,580,1877,628
1107.png,80,48,Smoke,414,514,494,562
0238.png,55,84,Smoke,450,460,505,544
